Feature,HTTP Method,URI,Response Code,Feature Group,서버 반영 여부,담당자,비고
웹소켓 연결,WEBSOCKET,ws://localhost:18000/ws-chat,,chat,Done,수아 강,
채팅 메시지 송신,STOMP SEND,웹소켓 연결 후 /chat/pub/send,,chat,Done,수아 강,
채팅 메시지 수신,STOMP SUBSCRIBE,웹소켓 연결 후 /chat/topic/room/{roomId},,chat,Done,수아 강,
새로 입장,STOMP JOIN,웹소켓 연결 후 /chat/pub/join,,chat,Done,수아 강,현재 플레이해야하는 음악 id 응답에 포함하기
"참여중인 채팅방 재입장, 새 메시지 조회",GET,/v1/api/chat/api/v1/rooms/joined/{roomId},,chat,Done,수아 강,현재 플레이해야하는 음악 id 응답에 포함하기
특정 채팅방 전체 히스토리 조회,GET,/v1/api/chat/api/v1/history/{roomId},,chat,Done,수아 강,
채팅 메시지 페이지네이션,GET,/v1/api/chat/history,,chat,Done,수아 강,MAX 20개
"메시지 전송 - 디버깅용 - ",POST,/v1/api/chat/api/v1/message,,chat,Done,수아 강,
특정 채팅방 정보 조회,GET,/v1/api/rooms/{roomId},,room,Done,수아 강,
채팅방 영구 퇴장,POST,/v1/api/rooms/exit/{roomId},,room,Done,수아 강,
채팅방 잠시 나가기 + 마지막 읽은 메시지 id 저장,PUT,/v1/api/rooms/leave,,room,Done,수아 강,
참여중인 채팅방 리스트 조회,GET,/v1/api/rooms/joined,,room,Done,수아 강,
참여 가능한 채팅방 리스트 조회,GET,/v1/api/rooms/unjoined,,room,Done,수아 강,
채팅방 생성,POST,/v1/api/rooms/create,,room,Done,수아 강,playlist server에서 요청 받아서 처리하는 로직
전체 채팅방 리스트 정보 조회,GET,/v1/api/rooms/,,room,Done,수아 강,for debugging
채팅방 생성시 검색 서버에 등록,POST,localhost:20000/search/index/send,,search-chatroom,Done,,HTTP ver.
채팅방 생성시 검색 서버에 등록,STOMP SEND,"/chat/topic/search/room/index ",,search-chatroom,Done,,카프카 ver.
